Workload,Work-life Balance,Job Satisfaction,Interpersonal Relationships,Job Security,Recognition and Appreciation,Coping Mechanisms,Physical Symptoms,Mental Fatigue,Job Future,Stress Level
Manageable,Rarely,Neutral,Very Negative,Secure,Often,Often,Sometimes,Always,Neutral,Moderate
Neutral,Rarely,Very Dissatisfied,Very Positive,Secure,Rarely,Always,Often,Never,Pessimistic,Moderate
Very Manageable,Rarely,Satisfied,Generally Positive,Very Secure,Rarely,Always,Sometimes,Often,Very Optimistic,Mild
Manageable,Always,Satisfied,Generally Negative,Neutral,Rarely,Often,Rarely,Always,Optimistic,Moderate
Very Manageable,Never,Satisfied,Generally Positive,Secure,Always,Sometimes,Never,Sometimes,Very Optimistic,Normal
Extremely Overwhelming,Always,Very Satisfied,Very Negative,Insecure,Always,Never,Always,Always,Very Pessimistic,Moderate
Manageable,Sometimes,Very Dissatisfied,Neutral,Insecure,Often,Never,Rarely,Never,Very Pessimistic,Mild
Overwhelming,Often,Satisfied,Generally Positive,Insecure,Always,Always,Often,Always,Neutral,Moderate
Manageable,Rarely,Dissatisfied,Neutral,Insecure,Rarely,Sometimes,Often,Never,Neutral,Mild
Extremely Overwhelming,Always,Very Satisfied,Generally Negative,Neutral,Never,Often,Rarely,Often,Very Optimistic,Moderate
Manageable,Always,Dissatisfied,Generally Positive,Neutral,Often,Always,Never,Sometimes,Very Pessimistic,Moderate
Neutral,Sometimes,Very Dissatisfied,Generally Negative,Very Secure,Always,Always,Sometimes,Rarely,Pessimistic,Moderate
Neutral,Always,Very Dissatisfied,Very Positive,Very Insecure,Sometimes,Always,Sometimes,Never,Very Pessimistic,Moderate
Extremely Overwhelming,Often,Very Satisfied,Generally Negative,Very Insecure,Never,Rarely,Rarely,Rarely,Pessimistic,Moderate
Overwhelming,Rarely,Neutral,Generally Positive,Insecure,Never,Never,Sometimes,Often,Pessimistic,Moderate
Very Manageable,Always,Satisfied,Very Negative,Secure,Often,Often,Sometimes,Never,Very Pessimistic,Mild
Very Manageable,Always,Dissatisfied,Neutral,Neutral,Rarely,Never,Sometimes,Sometimes,Neutral,Mild
Neutral,Never,Very Dissatisfied,Generally Positive,Very Insecure,Rarely,Always,Often,Sometimes,Optimistic,Moderate
Manageable,Never,Neutral,Generally Negative,Secure,Always,Rarely,Sometimes,Often,Pessimistic,Mild
Very Manageable,Always,Satisfied,Neutral,Very Insecure,Often,Always,Sometimes,Rarely,Neutral,Moderate
Extremely Overwhelming,Rarely,Dissatisfied,Generally Negative,Insecure,Often,Often,Sometimes,Rarely,Neutral,Moderate
Overwhelming,Always,Neutral,Very Positive,Neutral,Rarely,Sometimes,Always,Sometimes,Optimistic,Moderate
Manageable,Always,Neutral,Generally Negative,Neutral,Often,Often,Never,Sometimes,Very Optimistic,Mild
Very Manageable,Always,Neutral,Generally Negative,Insecure,Never,Rarely,Rarely,Never,Pessimistic,Moderate
Manageable,Never,Dissatisfied,Very Positive,Very Insecure,Always,Always,Never,Always,Neutral,Mild
Overwhelming,Rarely,Neutral,Generally Positive,Very Secure,Never,Never,Never,Always,Very Pessimistic,Mild
Overwhelming,Never,Dissatisfied,Generally Negative,Secure,Never,Sometimes,Always,Always,Very Pessimistic,Moderate
Manageable,Sometimes,Satisfied,Generally Negative,Insecure,Never,Rarely,Always,Always,Very Optimistic,Moderate
Very Manageable,Often,Neutral,Neutral,Insecure,Often,Sometimes,Often,Rarely,Pessimistic,Mild
Very Manageable,Always,Neutral,Generally Positive,Very Insecure,Never,Rarely,Never,Never,Neutral,Mild
Extremely Overwhelming,Always,Satisfied,Generally Positive,Insecure,Always,Often,Never,Always,Pessimistic,Moderate
Manageable,Often,Dissatisfied,Very Positive,Very Secure,Rarely,Always,Always,Always,Pessimistic,Moderate
Extremely Overwhelming,Sometimes,Very Dissatisfied,Neutral,Insecure,Never,Sometimes,Often,Often,Very Optimistic,Moderate
Manageable,Sometimes,Very Dissatisfied,Very Negative,Very Secure,Always,Sometimes,Always,Always,Very Optimistic,Moderate
Very Manageable,Always,Dissatisfied,Generally Positive,Insecure,Rarely,Often,Sometimes,Often,Pessimistic,Moderate
Overwhelming,Rarely,Dissatisfied,Neutral,Insecure,Always,Rarely,Often,Never,Very Pessimistic,Mild
Manageable,Often,Very Satisfied,Very Positive,Very Secure,Sometimes,Never,Never,Often,Very Optimistic,Normal
Overwhelming,Always,Very Dissatisfied,Very Negative,Very Secure,Often,Often,Often,Rarely,Neutral,Moderate
Overwhelming,Never,Very Dissatisfied,Generally Negative,Very Insecure,Sometimes,Often,Rarely,Often,Very Optimistic,Moderate
Overwhelming,Never,Neutral,Generally Negative,Neutral,Always,Often,Never,Often,Neutral,Mild
Very Manageable,Often,Satisfied,Very Negative,Very Secure,Always,Rarely,Rarely,Often,Very Pessimistic,Mild
Extremely Overwhelming,Never,Very Satisfied,Generally Negative,Very Insecure,Always,Always,Rarely,Sometimes,Optimistic,Mild
Manageable,Rarely,Neutral,Neutral,Very Secure,Always,Always,Rarely,Never,Pessimistic,Mild
Overwhelming,Often,Neutral,Very Positive,Secure,Sometimes,Always,Often,Rarely,Very Optimistic,Mild
Manageable,Always,Dissatisfied,Generally Positive,Neutral,Always,Always,Always,Always,Very Pessimistic,Moderate
Overwhelming,Always,Neutral,Generally Positive,Secure,Often,Never,Always,Often,Pessimistic,Moderate
Manageable,Often,Neutral,Generally Negative,Secure,Always,Often,Never,Rarely,Very Optimistic,Mild
Neutral,Sometimes,Neutral,Neutral,Neutral,Often,Sometimes,Always,Always,Very Pessimistic,Moderate
Overwhelming,Often,Dissatisfied,Very Positive,Very Insecure,Never,Sometimes,Always,Sometimes,Neutral,Moderate
Very Manageable,Often,Dissatisfied,Generally Positive,Neutral,Sometimes,Often,Rarely,Rarely,Neutral,Mild
Overwhelming,Never,Very Dissatisfied,Very Negative,Very Secure,Rarely,Sometimes,Never,Sometimes,Optimistic,Mild
Overwhelming,Rarely,Very Satisfied,Generally Negative,Very Insecure,Never,Rarely,Always,Sometimes,Very Optimistic,Moderate
Extremely Overwhelming,Sometimes,Dissatisfied,Very Positive,Secure,Always,Always,Rarely,Always,Very Pessimistic,Moderate
Extremely Overwhelming,Never,Very Dissatisfied,Generally Negative,Insecure,Often,Often,Often,Never,Pessimistic,Moderate
Manageable,Never,Very Dissatisfied,Neutral,Insecure,Rarely,Always,Rarely,Always,Very Pessimistic,Moderate
Manageable,Sometimes,Very Dissatisfied,Very Positive,Very Secure,Never,Rarely,Sometimes,Never,Pessimistic,Mild
Manageable,Rarely,Dissatisfied,Generally Positive,Very Secure,Never,Always,Often,Never,Neutral,Mild
Extremely Overwhelming,Often,Very Dissatisfied,Generally Positive,Insecure,Sometimes,Often,Always,Always,Neutral,Moderate
Manageable,Rarely,Neutral,Generally Negative,Neutral,Often,Never,Never,Never,Pessimistic,Mild
Overwhelming,Always,Dissatisfied,Generally Negative,Insecure,Sometimes,Always,Sometimes,Often,Neutral,Moderate
Very Manageable,Never,Very Satisfied,Very Negative,Secure,Never,Rarely,Often,Sometimes,Pessimistic,Mild
Neutral,Always,Neutral,Neutral,Very Secure,Rarely,Rarely,Never,Rarely,Very Pessimistic,Mild
Overwhelming,Rarely,Very Satisfied,Generally Positive,Insecure,Always,Rarely,Rarely,Sometimes,Neutral,Mild
Extremely Overwhelming,Never,Dissatisfied,Very Positive,Very Insecure,Always,Sometimes,Rarely,Always,Optimistic,Mild
Manageable,Often,Neutral,Generally Positive,Secure,Sometimes,Never,Often,Sometimes,Very Pessimistic,Mild
Overwhelming,Sometimes,Very Dissatisfied,Generally Positive,Secure,Often,Often,Often,Rarely,Pessimistic,Moderate
Manageable,Rarely,Neutral,Generally Negative,Neutral,Never,Always,Never,Often,Very Pessimistic,Moderate
Overwhelming,Rarely,Very Satisfied,Very Negative,Neutral,Never,Rarely,Often,Sometimes,Neutral,Moderate
Overwhelming,Sometimes,Satisfied,Very Positive,Very Insecure,Never,Often,Rarely,Sometimes,Pessimistic,Moderate
Extremely Overwhelming,Often,Satisfied,Generally Positive,Very Secure,Never,Never,Often,Sometimes,Optimistic,Mild
Overwhelming,Often,Neutral,Generally Positive,Very Secure,Sometimes,Rarely,Never,Always,Very Pessimistic,Mild
Neutral,Always,Satisfied,Neutral,Very Insecure,Never,Sometimes,Always,Sometimes,Very Optimistic,Moderate
Neutral,Rarely,Neutral,Very Positive,Insecure,Never,Sometimes,Sometimes,Often,Optimistic,Mild
Overwhelming,Often,Dissatisfied,Very Negative,Neutral,Sometimes,Often,Often,Always,Pessimistic,Moderate
Overwhelming,Often,Very Dissatisfied,Generally Negative,Neutral,Often,Rarely,Never,Always,Very Pessimistic,Moderate
Overwhelming,Often,Very Dissatisfied,Generally Negative,Secure,Sometimes,Rarely,Rarely,Always,Very Pessimistic,Moderate
Very Manageable,Always,Neutral,Very Positive,Very Secure,Often,Rarely,Rarely,Always,Very Pessimistic,Mild
Manageable,Never,Very Satisfied,Generally Negative,Very Secure,Often,Never,Rarely,Never,Very Pessimistic,Normal
Very Manageable,Often,Neutral,Very Positive,Secure,Sometimes,Often,Sometimes,Rarely,Very Optimistic,Mild
Manageable,Always,Very Satisfied,Generally Positive,Very Insecure,Often,Always,Always,Never,Pessimistic,Moderate
Extremely Overwhelming,Rarely,Satisfied,Generally Negative,Secure,Often,Rarely,Often,Never,Pessimistic,Mild
Very Manageable,Rarely,Dissatisfied,Very Positive,Very Insecure,Sometimes,Rarely,Often,Often,Pessimistic,Mild
Extremely Overwhelming,Rarely,Satisfied,Very Negative,Secure,Sometimes,Often,Always,Rarely,Pessimistic,Moderate
Extremely Overwhelming,Often,Satisfied,Generally Positive,Very Secure,Often,Rarely,Sometimes,Always,Very Pessimistic,Moderate
Extremely Overwhelming,Always,Very Satisfied,Generally Positive,Very Insecure,Never,Always,Rarely,Rarely,Pessimistic,Moderate
Neutral,Never,Satisfied,Neutral,Secure,Sometimes,Always,Never,Rarely,Pessimistic,Mild
Very Manageable,Always,Satisfied,Very Negative,Insecure,Never,Always,Rarely,Sometimes,Optimistic,Moderate
Manageable,Often,Very Satisfied,Neutral,Insecure,Never,Often,Never,Always,Very Pessimistic,Moderate
Overwhelming,Never,Very Satisfied,Neutral,Neutral,Always,Rarely,Never,Rarely,Optimistic,Normal
Extremely Overwhelming,Never,Neutral,Generally Positive,Insecure,Always,Often,Always,Often,Very Optimistic,Mild
Very Manageable,Rarely,Satisfied,Very Negative,Insecure,Rarely,Often,Sometimes,Never,Very Optimistic,Mild
Very Manageable,Sometimes,Very Satisfied,Neutral,Neutral,Often,Often,Sometimes,Never,Neutral,Mild
Manageable,Rarely,Satisfied,Generally Positive,Very Secure,Always,Never,Always,Often,Neutral,Mild
Manageable,Often,Very Satisfied,Generally Negative,Neutral,Rarely,Always,Sometimes,Sometimes,Optimistic,Moderate
Very Manageable,Rarely,Neutral,Generally Negative,Neutral,Often,Always,Often,Rarely,Pessimistic,Mild
Overwhelming,Sometimes,Very Satisfied,Generally Positive,Very Insecure,Rarely,Rarely,Sometimes,Always,Pessimistic,Moderate
Manageable,Sometimes,Very Satisfied,Neutral,Very Insecure,Never,Always,Often,Rarely,Very Optimistic,Moderate
Manageable,Often,Very Satisfied,Neutral,Very Insecure,Often,Rarely,Always,Rarely,Optimistic,Mild
Manageable,Always,Dissatisfied,Generally Positive,Very Secure,Often,Sometimes,Never,Always,Pessimistic,Mild
Overwhelming,Always,Very Dissatisfied,Generally Negative,Insecure,Often,Never,Always,Often,Very Optimistic,Moderate
Manageable,Often,Very Satisfied,Generally Negative,Insecure,Always,Never,Never,Always,Pessimistic,Mild
Overwhelming,Often,Satisfied,Very Negative,Insecure,Rarely,Often,Often,Often,Optimistic,Moderate
Overwhelming,Often,Very Satisfied,Very Positive,Insecure,Always,Sometimes,Rarely,Never,Neutral,Mild
Manageable,Never,Very Satisfied,Generally Negative,Neutral,Sometimes,Never,Never,Never,Neutral,Normal
Manageable,Sometimes,Dissatisfied,Generally Negative,Very Secure,Always,Always,Always,Never,Very Optimistic,Mild
Very Manageable,Always,Dissatisfied,Generally Positive,Secure,Rarely,Always,Sometimes,Sometimes,Optimistic,Moderate
Very Manageable,Always,Very Satisfied,Very Negative,Secure,Sometimes,Never,Often,Never,Neutral,Mild
Neutral,Sometimes,Very Dissatisfied,Very Negative,Very Secure,Never,Rarely,Sometimes,Always,Neutral,Moderate
Extremely Overwhelming,Rarely,Satisfied,Generally Positive,Neutral,Sometimes,Never,Rarely,Always,Neutral,Mild
Neutral,Sometimes,Neutral,Neutral,Neutral,Rarely,Always,Rarely,Rarely,Neutral,Moderate
Overwhelming,Never,Very Satisfied,Very Negative,Very Secure,Often,Sometimes,Always,Sometimes,Optimistic,Mild
Manageable,Never,Neutral,Very Negative,Very Insecure,Always,Often,Rarely,Always,Pessimistic,Moderate
Very Manageable,Rarely,Neutral,Generally Positive,Very Insecure,Sometimes,Often,Never,Often,Very Pessimistic,Mild
Very Manageable,Rarely,Dissatisfied,Very Negative,Neutral,Sometimes,Sometimes,Never,Always,Pessimistic,Moderate
Neutral,Always,Neutral,Generally Positive,Very Secure,Sometimes,Sometimes,Never,Rarely,Pessimistic,Mild
Overwhelming,Often,Satisfied,Generally Negative,Insecure,Rarely,Always,Often,Sometimes,Neutral,Moderate
Neutral,Sometimes,Very Dissatisfied,Neutral,Secure,Never,Often,Often,Sometimes,Very Optimistic,Moderate
Manageable,Sometimes,Neutral,Generally Positive,Secure,Often,Never,Often,Never,Pessimistic,Mild
Extremely Overwhelming,Never,Very Satisfied,Very Positive,Very Insecure,Never,Sometimes,Rarely,Never,Optimistic,Mild
Very Manageable,Sometimes,Very Satisfied,Very Negative,Very Secure,Sometimes,Always,Always,Rarely,Very Optimistic,Mild
Extremely Overwhelming,Often,Neutral,Very Positive,Very Secure,Rarely,Never,Always,Always,Neutral,Moderate
Manageable,Sometimes,Very Dissatisfied,Generally Negative,Secure,Never,Sometimes,Sometimes,Sometimes,Very Optimistic,Moderate
Overwhelming,Always,Very Satisfied,Very Positive,Very Insecure,Always,Rarely,Often,Always,Neutral,Moderate
Extremely Overwhelming,Often,Dissatisfied,Generally Positive,Insecure,Always,Often,Never,Never,Optimistic,Mild
Extremely Overwhelming,Never,Very Satisfied,Generally Positive,Very Secure,Always,Rarely,Always,Often,Neutral,Mild
Overwhelming,Always,Neutral,Very Positive,Very Secure,Rarely,Always,Always,Often,Pessimistic,Moderate
Very Manageable,Always,Neutral,Generally Positive,Secure,Always,Rarely,Always,Always,Very Optimistic,Mild
Overwhelming,Always,Neutral,Generally Negative,Insecure,Always,Rarely,Often,Often,Very Optimistic,Moderate
Extremely Overwhelming,Always,Neutral,Generally Negative,Neutral,Often,Often,Never,Sometimes,Very Pessimistic,Moderate
Very Manageable,Rarely,Very Dissatisfied,Very Positive,Secure,Often,Always,Often,Sometimes,Optimistic,Mild
Very Manageable,Always,Neutral,Generally Negative,Insecure,Never,Rarely,Sometimes,Always,Very Optimistic,Moderate
Neutral,Always,Very Satisfied,Neutral,Neutral,Sometimes,Never,Never,Often,Pessimistic,Mild
Manageable,Never,Very Satisfied,Very Negative,Very Insecure,Often,Always,Always,Rarely,Neutral,Moderate
Extremely Overwhelming,Never,Very Satisfied,Neutral,Neutral,Rarely,Never,Rarely,Always,Very Optimistic,Mild
Very Manageable,Always,Very Satisfied,Very Negative,Very Secure,Sometimes,Sometimes,Never,Rarely,Very Optimistic,Mild
Extremely Overwhelming,Rarely,Satisfied,Neutral,Insecure,Always,Rarely,Always,Often,Very Optimistic,Mild
Manageable,Rarely,Dissatisfied,Very Negative,Insecure,Sometimes,Rarely,Rarely,Always,Neutral,Moderate
Extremely Overwhelming,Sometimes,Very Satisfied,Neutral,Neutral,Never,Never,Always,Never,Neutral,Mild
Extremely Overwhelming,Never,Very Dissatisfied,Very Negative,Very Insecure,Never,Sometimes,Always,Sometimes,Pessimistic,Severe
Manageable,Always,Very Satisfied,Generally Positive,Very Secure,Never,Rarely,Always,Always,Pessimistic,Moderate
Neutral,Never,Satisfied,Very Negative,Insecure,Sometimes,Always,Often,Often,Very Optimistic,Moderate
Extremely Overwhelming,Always,Dissatisfied,Very Positive,Very Secure,Rarely,Always,Sometimes,Often,Neutral,Moderate
Very Manageable,Sometimes,Dissatisfied,Very Negative,Neutral,Often,Rarely,Rarely,Always,Very Optimistic,Mild
Very Manageable,Always,Neutral,Generally Positive,Very Secure,Sometimes,Rarely,Sometimes,Always,Pessimistic,Mild
Neutral,Rarely,Satisfied,Generally Positive,Secure,Never,Always,Often,Always,Optimistic,Moderate
Very Manageable,Sometimes,Neutral,Neutral,Insecure,Always,Never,Always,Sometimes,Very Optimistic,Mild
Manageable,Always,Satisfied,Very Positive,Very Secure,Often,Never,Often,Often,Neutral,Mild
Very Manageable,Rarely,Neutral,Generally Negative,Very Secure,Always,Never,Sometimes,Never,Very Optimistic,Normal
Extremely Overwhelming,Always,Dissatisfied,Very Positive,Neutral,Always,Never,Sometimes,Always,Very Pessimistic,Moderate
Manageable,Always,Very Satisfied,Generally Negative,Very Secure,Sometimes,Rarely,Always,Never,Very Pessimistic,Mild
Extremely Overwhelming,Rarely,Very Dissatisfied,Generally Positive,Very Secure,Often,Often,Sometimes,Sometimes,Optimistic,Mild
Neutral,Never,Dissatisfied,Generally Positive,Insecure,Never,Rarely,Often,Rarely,Very Optimistic,Mild
Very Manageable,Sometimes,Dissatisfied,Generally Negative,Secure,Never,Sometimes,Often,Sometimes,Neutral,Moderate
Very Manageable,Never,Satisfied,Very Positive,Very Insecure,Always,Sometimes,Never,Never,Very Pessimistic,Mild
Very Manageable,Always,Satisfied,Generally Positive,Very Secure,Rarely,Always,Always,Always,Very Optimistic,Moderate
Neutral,Often,Neutral,Very Negative,Neutral,Often,Always,Always,Always,Very Optimistic,Moderate
Neutral,Always,Very Dissatisfied,Neutral,Insecure,Rarely,Never,Rarely,Sometimes,Optimistic,Moderate
Very Manageable,Rarely,Satisfied,Neutral,Very Secure,Always,Always,Often,Often,Very Optimistic,Mild
Overwhelming,Always,Dissatisfied,Generally Positive,Very Secure,Rarely,Never,Sometimes,Never,Optimistic,Mild
Very Manageable,Rarely,Satisfied,Very Negative,Insecure,Rarely,Often,Rarely,Sometimes,Very Optimistic,Mild
Overwhelming,Always,Dissatisfied,Generally Positive,Insecure,Sometimes,Rarely,Never,Never,Neutral,Mild
Very Manageable,Never,Satisfied,Generally Negative,Very Secure,Often,Sometimes,Always,Rarely,Optimistic,Mild
Overwhelming,Often,Very Satisfied,Generally Positive,Insecure,Always,Never,Often,Sometimes,Very Optimistic,Mild
Manageable,Rarely,Very Dissatisfied,Neutral,Secure,Sometimes,Never,Always,Always,Optimistic,Mild
Very Manageable,Never,Satisfied,Generally Negative,Very Secure,Never,Sometimes,Sometimes,Always,Very Pessimistic,Mild
Extremely Overwhelming,Never,Neutral,Generally Negative,Neutral,Always,Never,Rarely,Rarely,Very Optimistic,Mild
Neutral,Never,Neutral,Very Negative,Very Secure,Sometimes,Often,Never,Often,Pessimistic,Mild
Overwhelming,Never,Satisfied,Neutral,Very Secure,Rarely,Often,Often,Never,Optimistic,Mild
Overwhelming,Sometimes,Satisfied,Very Negative,Insecure,Never,Sometimes,Often,Never,Optimistic,Moderate
Overwhelming,Often,Dissatisfied,Neutral,Insecure,Often,Often,Sometimes,Never,Very Optimistic,Mild
Manageable,Rarely,Satisfied,Generally Negative,Very Insecure,Sometimes,Always,Sometimes,Always,Optimistic,Moderate
Extremely Overwhelming,Sometimes,Very Satisfied,Generally Positive,Secure,Sometimes,Often,Sometimes,Sometimes,Pessimistic,Mild
Overwhelming,Sometimes,Very Satisfied,Very Positive,Secure,Rarely,Often,Rarely,Often,Neutral,Mild
Very Manageable,Always,Very Satisfied,Very Positive,Secure,Always,Often,Sometimes,Never,Optimistic,Mild
Extremely Overwhelming,Always,Very Satisfied,Very Positive,Very Secure,Rarely,Rarely,Always,Rarely,Neutral,Mild
Overwhelming,Rarely,Dissatisfied,Generally Positive,Very Secure,Always,Rarely,Rarely,Never,Very Pessimistic,Mild
Neutral,Rarely,Very Dissatisfied,Very Negative,Very Secure,Rarely,Often,Often,Never,Pessimistic,Moderate
Extremely Overwhelming,Never,Satisfied,Generally Positive,Neutral,Never,Never,Never,Often,Optimistic,Mild
Manageable,Never,Very Satisfied,Neutral,Neutral,Rarely,Often,Often,Rarely,Optimistic,Mild
Overwhelming,Often,Satisfied,Neutral,Secure,Rarely,Rarely,Rarely,Never,Pessimistic,Mild
Overwhelming,Sometimes,Satisfied,Neutral,Secure,Always,Rarely,Never,Rarely,Very Optimistic,Mild
Overwhelming,Rarely,Neutral,Very Positive,Insecure,Rarely,Never,Sometimes,Rarely,Optimistic,Mild
Overwhelming,Sometimes,Neutral,Generally Positive,Neutral,Always,Rarely,Always,Always,Optimistic,Mild
Overwhelming,Sometimes,Neutral,Very Positive,Neutral,Sometimes,Rarely,Always,Rarely,Pessimistic,Mild
Extremely Overwhelming,Often,Very Dissatisfied,Very Negative,Secure,Rarely,Sometimes,Often,Sometimes,Very Pessimistic,Moderate
Extremely Overwhelming,Sometimes,Very Dissatisfied,Very Positive,Insecure,Sometimes,Never,Often,Often,Optimistic,Moderate
Extremely Overwhelming,Sometimes,Neutral,Generally Negative,Secure,Rarely,Never,Never,Sometimes,Optimistic,Mild
Extremely Overwhelming,Rarely,Satisfied,Neutral,Very Insecure,Often,Always,Often,Always,Very Pessimistic,Moderate
Manageable,Sometimes,Dissatisfied,Generally Negative,Secure,Always,Often,Always,Never,Very Pessimistic,Moderate
Neutral,Often,Very Satisfied,Generally Positive,Very Secure,Always,Never,Always,Rarely,Very Pessimistic,Mild
Very Manageable,Always,Very Dissatisfied,Very Positive,Neutral,Always,Never,Always,Rarely,Pessimistic,Mild
Neutral,Sometimes,Very Satisfied,Very Positive,Neutral,Sometimes,Always,Often,Sometimes,Neutral,Mild
Manageable,Often,Very Satisfied,Generally Positive,Secure,Always,Always,Always,Sometimes,Optimistic,Mild
Neutral,Always,Satisfied,Very Negative,Very Secure,Never,Rarely,Sometimes,Often,Very Pessimistic,Moderate
Manageable,Often,Satisfied,Neutral,Insecure,Rarely,Sometimes,Always,Always,Very Optimistic,Moderate
Extremely Overwhelming,Always,Satisfied,Neutral,Insecure,Often,Rarely,Sometimes,Always,Very Pessimistic,Moderate
Manageable,Rarely,Very Satisfied,Very Positive,Very Insecure,Rarely,Sometimes,Never,Often,Very Optimistic,Mild
Neutral,Sometimes,Dissatisfied,Neutral,Very Insecure,Always,Often,Rarely,Always,Very Optimistic,Moderate
Overwhelming,Sometimes,Dissatisfied,Very Positive,Neutral,Sometimes,Rarely,Sometimes,Rarely,Neutral,Mild
Manageable,Never,Dissatisfied,Generally Positive,Secure,Often,Often,Always,Never,Optimistic,Mild
Manageable,Often,Very Dissatisfied,Very Negative,Very Insecure,Sometimes,Sometimes,Often,Never,Optimistic,Moderate
Neutral,Rarely,Neutral,Neutral,Neutral,Rarely,Often,Never,Always,Very Pessimistic,Moderate
Overwhelming,Often,Very Dissatisfied,Very Positive,Very Secure,Often,Rarely,Often,Never,Pessimistic,Mild
Neutral,Often,Very Dissatisfied,Generally Negative,Very Secure,Often,Often,Sometimes,Rarely,Very Optimistic,Mild
Manageable,Sometimes,Neutral,Very Negative,Insecure,Rarely,Always,Rarely,Sometimes,Very Pessimistic,Moderate
Overwhelming,Always,Very Satisfied,Very Negative,Very Insecure,Never,Sometimes,Often,Never,Very Optimistic,Moderate
Neutral,Sometimes,Satisfied,Very Positive,Neutral,Often,Rarely,Rarely,Rarely,Neutral,Mild
Very Manageable,Always,Very Dissatisfied,Generally Positive,Insecure,Always,Never,Often,Rarely,Neutral,Mild
Extremely Overwhelming,Always,Very Satisfied,Very Negative,Very Secure,Sometimes,Sometimes,Often,Rarely,Neutral,Moderate
Very Manageable,Never,Dissatisfied,Neutral,Very Insecure,Always,Often,Never,Always,Very Optimistic,Mild
Extremely Overwhelming,Always,Very Dissatisfied,Very Positive,Insecure,Often,Never,Sometimes,Never,Very Optimistic,Mild
Very Manageable,Often,Neutral,Generally Positive,Very Insecure,Rarely,Often,Often,Rarely,Pessimistic,Moderate
Extremely Overwhelming,Never,Neutral,Generally Negative,Neutral,Often,Rarely,Never,Always,Very Optimistic,Mild
Neutral,Rarely,Very Satisfied,Very Negative,Very Secure,Always,Always,Often,Never,Optimistic,Mild
Manageable,Often,Neutral,Very Negative,Very Secure,Rarely,Often,Never,Always,Pessimistic,Moderate
Neutral,Never,Satisfied,Generally Positive,Very Insecure,Never,Never,Never,Always,Pessimistic,Mild
Neutral,Often,Neutral,Very Positive,Very Secure,Often,Sometimes,Often,Often,Neutral,Mild
Manageable,Never,Neutral,Very Positive,Secure,Often,Always,Sometimes,Often,Optimistic,Mild
Overwhelming,Rarely,Very Dissatisfied,Generally Negative,Secure,Sometimes,Often,Rarely,Always,Neutral,Moderate
Overwhelming,Sometimes,Very Dissatisfied,Generally Positive,Very Secure,Rarely,Often,Never,Always,Pessimistic,Moderate
Very Manageable,Always,Dissatisfied,Very Positive,Neutral,Sometimes,Rarely,Always,Sometimes,Optimistic,Mild
Manageable,Always,Satisfied,Very Negative,Neutral,Rarely,Never,Rarely,Never,Neutral,Mild
Overwhelming,Often,Neutral,Generally Negative,Very Insecure,Rarely,Often,Sometimes,Always,Very Optimistic,Moderate
Overwhelming,Often,Very Dissatisfied,Generally Negative,Secure,Never,Rarely,Rarely,Always,Pessimistic,Moderate
Very Manageable,Often,Very Satisfied,Very Negative,Very Secure,Sometimes,Rarely,Often,Sometimes,Pessimistic,Mild
Overwhelming,Always,Very Satisfied,Very Negative,Neutral,Rarely,Always,Rarely,Always,Neutral,Moderate
Neutral,Rarely,Neutral,Neutral,Secure,Never,Never,Rarely,Rarely,Very Pessimistic,Mild
Neutral,Sometimes,Very Dissatisfied,Neutral,Secure,Often,Rarely,Sometimes,Never,Optimistic,Mild
Overwhelming,Rarely,Very Dissatisfied,Generally Positive,Very Secure,Always,Never,Always,Never,Optimistic,Mild
Very Manageable,Always,Dissatisfied,Generally Positive,Very Insecure,Sometimes,Always,Always,Sometimes,Neutral,Moderate
Extremely Overwhelming,Always,Very Satisfied,Neutral,Insecure,Often,Rarely,Always,Rarely,Optimistic,Moderate
Neutral,Never,Neutral,Very Positive,Insecure,Never,Always,Never,Rarely,Pessimistic,Mild
Overwhelming,Rarely,Dissatisfied,Generally Negative,Very Secure,Always,Always,Often,Always,Very Optimistic,Moderate
Very Manageable,Never,Satisfied,Generally Negative,Very Secure,Sometimes,Often,Rarely,Rarely,Very Optimistic,Mild
Overwhelming,Sometimes,Very Dissatisfied,Neutral,Neutral,Sometimes,Rarely,Often,Never,Pessimistic,Moderate
Extremely Overwhelming,Never,Very Satisfied,Very Positive,Neutral,Sometimes,Never,Often,Sometimes,Very Optimistic,Mild
Very Manageable,Sometimes,Satisfied,Neutral,Very Insecure,Often,Sometimes,Often,Never,Very Optimistic,Mild
Neutral,Rarely,Neutral,Very Positive,Neutral,Never,Sometimes,Never,Always,Optimistic,Mild
Extremely Overwhelming,Rarely,Neutral,Neutral,Secure,Always,Sometimes,Often,Often,Optimistic,Mild
Extremely Overwhelming,Often,Dissatisfied,Generally Negative,Very Insecure,Rarely,Rarely,Rarely,Often,Very Pessimistic,Moderate
Neutral,Often,Satisfied,Very Positive,Insecure,Often,Always,Never,Sometimes,Very Optimistic,Mild
Neutral,Often,Very Dissatisfied,Neutral,Insecure,Often,Sometimes,Sometimes,Never,Optimistic,Mild
Extremely Overwhelming,Always,Very Satisfied,Generally Positive,Secure,Often,Sometimes,Never,Often,Very Pessimistic,Mild
Overwhelming,Sometimes,Neutral,Very Negative,Very Secure,Often,Sometimes,Rarely,Rarely,Neutral,Mild
